Office Code,Office Name,Office Name in Bangla,Office Address,Mobile No.,Email.
1026,"RAO, Katakhali, Rajshahi","আহিদ, কাটাখালী, বিউবো, রাজশাহী",,,
1027,"RAO, Bhola Power Station","আাহিদ, ভোলা বিদ্যুৎ কেন্দ্র, বিউবো, ভোলা",,,
139,"RAO, P&CO, Dhaka","আহিদ, পিএন্ডসিও, বিউবো, ঢাকা","Biddut Bhabon (7th FLOUR) 1 No. Abdul Goni Road, Dhaka-1000",,
140,COOAC,"কেন্দ্রীয় উপরিখাত দপ্তর হিসাব সেল (কোয়াক), বিউবো, ঢাকা","153, Roni House (3rd & 4th Floor), Motijheel C/A, Dhaka-1000",,
141,"RAO, P&D, Chittagong","আহিদ, পিএন্ডডি, বিউবো, চট্টগ্রাম","Biddut Bhabon, Agrabad Chittagong.",,
142,"RAO, CES, Chittagong","আহিদ, সিইএস, বিউবো, চট্টগ্রাম","Biddut bhabon (4th Flour) Agrabad, Chittagong",,
143,"RAO, Tangail","আহিদ, বিউবো, টাঙাইল।",RAO Tangail,,
144,"RAO, BPDB, Mymensingh","আহিদ, বিউবো, ময়মনসিংহ।","137, Ganga Das Guha Road, Batirkol, Bidyut Bhaban, PDB, Mymensingh.",,
145,"RAO, Shambhugonj, Mymensingh","আহিদ, বিউবো, শম্ভুগঞ্জ, ময়মনসিংহ","Resonal Accounting Office, Shambhugonj, Mymensingh",,
147,"RAO, Comilla","আহিদ, বিউবো, কুমিল্লা","BPDB, Jangalia, Comilla",,
148,"RAO, Noakhali","আহিদ, বিউবো, নোয়াখালী","BPDB,Noakhali",,
149,"RAO, Sylhet","আহিদ, বিউবো, সিলেট","RAO, Sylhet",,
150,"RAO, Rangpur Power Station","আহিদ, বিউবো, রংপুর","Rao, BPDB, Rangpur",,
152,"Deputy Director (Accts), RAO, Power Station, Barishal","আহিদ, বিউবো, বরিশাল","Dapdapia, Rupatali, Barishal",,
154,"RAO, Chittagong Power Station, Raozan","আহিদ, চট্টগ্রাম বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","ROWJAN, CHITTAGONG",,
156,"RAO, Siddhiganj Power Station","আহিদ, সিদ্ধিরগঞ্জ বিদ্যুৎ কেন্দ্র, বিউবো, সিদ্ধিরগঞ্জ, নারায়নগঞ্জ","SIDDHIRGANJ, Narayangonj",,
157,"RAO, Ghorashal Power Station","আহিদ, ঘোড়াশাল বিদ্যুৎ কেন্দ্র, বিউবো, পলাশ, নরসিংদী","Palash, Norsingdi",,
158,"RAO, Shahjibazar Power Station","আহিদ, শাহজিবাজার বিদ্যুৎ কেন্দ্র, বিউবো, শাহজিবাজার","RAO, Shahjibazar, Power Station, Hobiganj, Sylhet",,
159,"RAO, Shikalbaha Power Station","আহিদ, শিকলবাহা বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","SIKALBAHA, CHITTAGONG",,
160,"RAO, Kaptai Power Station","আহিদ, কাপ্তাই বিদ্যুৎ কেন্দ্র, বিউবো, কাপ্তাই","Kaptai, Rangamati",,
161,"RAO, Bheramara Power Station","আহিদ, ভেড়ামারা বিদ্যুৎ কেন্দ্র, বিউবো, কুষ্টিয়া","Beramara, Kustia",,
162,"RAO, Khulna Power Station","আহিদ, খুলনা বিদ্যুৎ কেন্দ্র, বিউবো, খুলনা","Rao, Khulna, Power Station, BPDB Khulna",,
163,"RAO, Fenchuganj Power Station","আহিদ, ফেঞ্চুগঞ্জ বিদ্যুৎ কেন্দ্র, বিউবো, সিলেট ","FENCHUGONJ,SYLHET",,
164,"RAO, Baghabari Power Station","আহিদ, বাঘাবাড়ী বিদ্যুৎ কেন্দ্র, বিউবো, সিরাজগঞ্জ","BAGHABARI, SIRAJGONJ",,
165,"RAO, Barapukuria Power Station","আহিদ, বড়পুকুরিয়া কয়লা ভিত্তিক তাপ বিদ্যুৎ কেন্দ্র, বিউবো, দিনাজপুর","BARAPUKURIA,DINAJPUR",,
487,"RAO, Tongi, Gazipur.","আহিদ, বিউবো, টঙ্গী, গাজীপুর","Tongi 80MW GTPS, BPDB, Tongi, Gazipur.",,
568,"RAO,Chandpur","আহিদ, বিউবো, চাঁদপুর",Chandpur,,
636,"RAO, Bibiyana Power Station, Habiganj","আহিদ, বিবিয়ানা বিদ্যুৎ কেন্দ্র, বিউবো, হবিগঞ্জ","Parkul, Nabiganj, Habiganj",,
1002,IVVR Project Phase II,"আইভিভিআর প্রকল্প, দ্বিতীয় পর্যায়",,,
